features,Cluster.Index,M.Z,RT,Annotation,Cosine.Score,No..of.Shared.Peaks,Mass.Diff..to.Library.Reference,ppm.error,Analog.,Nearest.Neighbors,Proximity,CF_class,CF_Dparent,CF_kingdom,CF_MFramework,CF_subclass,CF_superclass,fch_147L_147V,fch_147L_147WG,fch_147L_165L,fch_147L_165V,fch_147L_165WG,fch_147L_291L,fch_147L_291V,fch_147L_291WG,fch_147V_147WG,fch_147V_165L,fch_147V_165V,fch_147V_165WG,fch_147V_291L,fch_147V_291V,fch_147V_291WG,fch_147WG_165L,fch_147WG_165V,fch_147WG_165WG,fch_147WG_291L,fch_147WG_291V,fch_147WG_291WG,fch_165L_165V,fch_165L_165WG,fch_165L_291L,fch_165L_291V,fch_165L_291WG,fch_165V_165WG,fch_165V_291L,fch_165V_291V,fch_165V_291WG,fch_165WG_291L,fch_165WG_291V,fch_165WG_291WG,fch_291L_291V,fch_291L_291WG,fch_291V_291WG
X1013.6512_2.89_8582,8582,1013.6512,2.89,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X1015.6683_2.89_8001,8001,1015.6683,2.89,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X1016.0201_2.63_10470,10470,1016.0201,2.63,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X1031.5854_2.62_7115,7115,1031.5854,2.62,taurocholic acid,0.766599,16,0.0045166,4.37829,No,Self-Loop,Self-Loop,Steroids and steroid derivatives,"Trihydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X1044.6046_3.3_10560,10560,1044.6046,3.3,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X1061.6514_2.86_9038,9038,1061.6514,2.86,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes
X121.072_0.28_9144,9144,121.072,0.28,Spectral Match to Fraxetin from NIST14,0.732026,4,87.972,420830,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
X123.0553_0.3_4171,4171,123.0553,0.3,Spectral Match to Isonicotinamide from NIST14,0.795082,4,0.00170135,13.8257,No,Self-Loop,Self-Loop,Pyridines and derivatives,Pyridinecarboxamides,Organic compounds,Aromatic heteromonocyclic compounds,Pyridinecarboxylic acids and derivatives,Organoheterocyclic compounds,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
X142.9479_0.3_6723,6723,142.9479,0.3,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
X181.1581_3.28_3113,3113,181.1581,3.28,Spectral Match to Curcumol from NIST14,0.801702,7,38.0159,173451,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
X185.9595_0.25_1537,1537,185.9595,0.25,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes
X204.1228_0.26_1443,1443,204.1228,0.26,ACETYL-CARNITINE,0.976579,5,0.000198364,0.971788,No,Butyrylcarnitine - 40.00 eV,First,Fatty Acyls,Acyl carnitines,Organic compounds,Aliphatic acyclic compounds,Fatty acid esters,Lipids and lipid-like molecules,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X217.1908_2.2_5690,5690,217.1908,2.2,NA,NA,NA,NA,NA,No,Massbank:LU071403 N-[3-(Dimethylamino)propyl]dodecanamide,Third,Fatty Acyls,N-acyl amines,Organic compounds,Aliphatic acyclic compounds,Fatty amides,Lipids and lipid-like molecules,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
X218.1383_0.39_1979,1979,218.1383,0.39,PROPIONYLCARNITINE,0.859212,4,0.000701904,3.21769,No,PROPIONYLCARNITINE,First,Fatty Acyls,Acyl carnitines,Organic compounds,Aliphatic acyclic compounds,Fatty acid esters,Lipids and lipid-like molecules,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X222.8883_0.29_9162,9162,222.8883,0.29,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X245.2216_2.42_5149,5149,245.2216,2.42,NA,NA,NA,NA,NA,No,Massbank:LU071403 N-[3-(Dimethylamino)propyl]dodecanamide,Second,Fatty Acyls,N-acyl amines,Organic compounds,Aliphatic acyclic compounds,Fatty amides,Lipids and lipid-like molecules,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
X247.1282_0.5_1402,1402,247.1282,0.5,Spectral Match to Glu-Val from NIST14,0.704169,6,0.00379944,15.3741,No,Spectral Match to Glu Phe from METLIN,First,Carboxylic acids and derivatives,Phenylalanine and derivatives,Organic compounds,Aromatic homomonocyclic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X249.1119_2.35_9523,9523,249.1119,2.35,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
X254.2105_3.39_4624,4624,254.2105,3.39,"Spectral Match to 9,10-Dihydroxy-12Z-octadecenoic acid from NIST14",0.865168,6,61.0425,193630,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
X256.2261_3.39_3941,3941,256.2261,3.39,"Spectral Match to cis,cis-9,12-Octadecadien-1-ol from NIST14",0.778152,6,11.0419,41314,Yes,Spectral Match to 9(10)-EpOME from NIST14,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
X258.1125_2.19_8597,8597,258.1125,2.19,SN-GLYCERO-3-PHOSPHOCHOLINE,0.793211,5,257.108,9.69525,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
X261.1438_1.59_8213,8213,261.1438,1.59,Spectral Match to Glu Phe from METLIN,0.830464,5,33.9842,115151,Yes,Spectral Match to Ile-Glu from NIST14,First,Carboxylic acids and derivatives,Phenylalanine and derivatives,Organic compounds,Aromatic homomonocyclic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X263.127_2.42_2465,2465,263.127,2.42,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
X265.1044_2.33_9783,9783,265.1044,2.33,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
X268.1875_2.68_8782,8782,268.1875,2.68,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
X269.1372_2.5_3316,3316,269.1372,2.5,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X272.2573_2.71_552,552,272.2573,2.71,"MassbankEU:SM876801 N,N-Dimethyldodecylamine N-oxide|Lauramine oxide|N,N-dimethyldodecan-1-amine oxide",0.869807,5,42.0093,182452,Yes,"MassbankEU:SM876801 N,N-Dimethyldodecylamine N-oxide|Lauramine oxide|N,N-dimethyldodecan-1-amine oxide",First Analog,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No
X274.1757_2.17_6453,6453,274.1757,2.17,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
X276.1584_2.95_9190,9190,276.1584,2.95,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
X283.1148_2.23_9537,9537,283.1148,2.23,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
X285.2887_2.68_1920,1920,285.2887,2.68,Massbank:LU071403 N-[3-(Dimethylamino)propyl]dodecanamide,0.764323,5,0.00131226,4.59973,No,Massbank:LU071403 N-[3-(Dimethylamino)propyl]dodecanamide,First Analog,Fatty Acyls,N-acyl amines,Organic compounds,Aliphatic acyclic compounds,Fatty amides,Lipids and lipid-like molecules,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X287.8994_0.26_9220,9220,287.8994,0.26,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X294.2406_2.73_9626,9626,294.2406,2.73,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
X309.6628_3_9216,9216,309.6628,3,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
X311.1611_3_8024,8024,311.1611,3,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes
X317.246_3.15_4787,4787,317.246,3.15,"Spectral Match to 11S-Hydroxy-5Z,8Z,12E,14Z-eicosatetraenoic acid from NIST14",0.917587,13,14.015,46218.9,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes
X320.1664_3_8043,8043,320.1664,3,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes
X322.1756_2.23_2104,2104,322.1756,2.23,Spectral Match to Phe-Gly-Phe from NIST14,0.70953,10,273.168,129669,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
X326.304_3.13_1936,1936,326.304,3.13,Spectral Match to N-Oleoylethanolamine from NIST14,0.910775,9,0.00100708,3.08632,No,Spectral Match to Palmitoyl ethanolamide from NIST14,Second,Organonitrogen compounds,N-acylethanolamines,Organic compounds,Aliphatic acyclic compounds,Amines,Organic nitrogen compounds,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X331.6742_2.99_8022,8022,331.6742,2.99,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No
X333.2043_2.63_3091,3091,333.2043,2.63,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
X347.22_3.01_9763,9763,347.22,3.01,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X348.1756_0.4_5032,5032,348.1756,0.4,Spectral Match to Ile-Glu from NIST14,0.708647,6,87.0276,333250,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No
X349.1995_2.57_6027,6027,349.1995,2.57,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X349.2353_3.05_7397,7397,349.2353,3.05,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
X355.2619_3.59_10316,10316,355.2619,3.59,Spectral Match to Cholic acid from NIST14,0.785744,12,0.00109863,3.09245,No,CHOLIC ACID,First Analog,Steroids and steroid derivatives,Cholesterols and derivatives,Organic compounds,Aliphatic homopolycyclic compounds,Cholestane steroids,Lipids and lipid-like molecules,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X365.2672_3.09_7645,7645,365.2672,3.09,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
X369.1813_2.93_9633,9633,369.1813,2.93,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
X373.2724_3.59_10313,10313,373.2724,3.59,Spectral Match to Cholic acid from NIST14,0.83532,14,18.0094,50693.1,Yes,Spectral Match to Cholic acid from NIST14,First,Steroids and steroid derivatives,Cholesterols and derivatives,Organic compounds,Aliphatic homopolycyclic compounds,Cholestane steroids,Lipids and lipid-like molecules,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
